 item	pts	pts	
Merits	 [100]	33	
    README.json with deployed frontend web app url	2	2	
    Frontend web app is deployed and functional	5	5	
    Single Page Application	2	2	
"    At least three views: landing, main, and profile"	2	2	
    Site has a consistent look and feel	2	1	no real styling
"    Layout is responsive, for every view"	2	2	
    Landing: Users log in using netID and three-word-passphrase	3	3	
    Landing: Users are appropriately notified of bad username+password	2	2	
    Landing: Logging in takes user to the main view	2	2	
    Main: User status headline and avatar image are shown on main page	3	1	avatar not pulled from server
    Main: followers with avatars and headlines are shown	3	0	not pulled from server
    Main: User's feed is displayed with newest articles first	5	0	not pulled from server
"    Main: Updating of status headline is persistent to logout, re-login, refresh"	5	0	not persistent
"    Main: Logging out takes user to the landing view, user is appropriately logged out"	3	3	
    Main: Non-logged in users cannot navigate to the main view or profile view	3	3	
"    Main: for articles with comments, comments are shown"	3	3	
"    Main: Search bar filters displayed articles by author and text, but not article id or article date"	3	0	search logs me out
"    Profile: shows the user's current profile values (email, zipcode, dob, display the avatar picture)"	3	0	not shown
    Profile: link back to the main page	2	2	
"    Test Actions: resource should be a resource (i.e., mock a request)"	2	0	only one test runs with npm test and it fails
    Test Actions: resource should give me the http error	2	0	
    Test Actions: resource should be POSTable	2	0	
    Test Actions: should update error message (for displaying error mesage to user)	2	0	
    Test Actions: should update success message (for displaying success message to user)	2	0	
"    Test Actions: should navigate (to profile, main, or landing)"	2	0	
    Test Auth: should log in a user	2	0	
    Test Auth: should not log in an invalid user	2	0	
    Test Auth: should log out a user (state should be cleared)	2	0	
    Test Article: should fetch articles (mocked request)	2	0	
    Test Article: should update the search keyword	2	0	
    Test ArticleView: should render articles	2	0	
    Test ArticleView: should dispatch actions to create a new article	2	0	
    Test Profile: should fetch the user's proile information	2	0	
    Test Profile: should update headline	2	0	
    Test Reducer: should initialize state	2	0	
    Test Reducer: should state success (for displaying success message to user)	2	0	
    Test Reducer: should state error (for displaying error message to user)	2	0	
    Test Reducer: should set the articles	2	0	
    Test Reducer: should set the search keyword	2	0	
    Test Reducer: should filter displayed articles by the search keyword	2	0	
    Valid test coverage report included in submission	3	0	not there
Demerits	 [340]	23	
    late submission 10pts per day	10	20	2 days late penalty
    did not follow Redux tutorial in implementation details	25	0	
    stateful component	25	0	
    business logic in component	20	0	
"    non-functional approach, e.g., for-loop, for-in, while"	15	0	
    fat React component instead of simple function	15	0	
    did not use fetch or wrapped fetch (aka resource) for AJAX calls	10	0	
    state mutation	10	0	
    code smells bad or has some issue	10	3	not supposed to use JS alerts
"    sections of code repeated more than twice (i.e., it's not DRY code)"	10	0	
"    variable not appropriately scoped (i.e., in wrong scope)"	10	0	
    did not properly separate concerns	10	0	
    user interface not obvious to use	10	0	
    a non-server error is thrown	8	0	
    lingering console message (outside possible React/Redux warnings)	5	0	
    Redux logging left on	5	0	
    usage of forceUpdate in React component	5	0	
    bad variable name	5	0	
    bad datastructure choice or usage	5	0	
    inappropriate use of new	5	0	
    improper use of comments	5	0	
    no comments at all (you should have describing comments to explain why you are doing things the way you are doing them)	5	0	
"    dead code, e.g., commented or unreachable code"	5	0	
    code makes unchecked assumption	5	0	
    non-CSS styling	5	0	
    inefficient algorithm	5	0	
    poor implementation	5	0	
    expensive network load	5	0	
    JavaScript file has too many lines of code (more than about 500 lines)	5	0	
    JavaScript file inappropriately has too few lines of code (should be at least 5 lines otherwise combine with another file)	5	0	
    function length is too long (more than about 60 lines)	5	0	
    function performs too many functions	5	0	
    complex code statement (should be broken up or is missing appropriate comment)	5	0	
    unnecessary intermixing of content (HTML) and style (CSS)	5	0	
    unnecessary intermixing of content (HTML) and logic (JavaScript)	5	0	
    inappropriate magic value	3	0	
"    missing braces for blocks, e.g., if, for, while"	3	0	
    bad indentation	3	0	
    poorly named function	3	0	
"    missing cached variable, e.g., not caching DOM lookup"	3	0	
    reassigning or multiply assigning variables	3	0	
    code line length too long (more than about 80 characters)	3	0	
    too much white space (use white space for logical separations and promote grouping)	3	0	
    excessive use of DOM ids	3	0	
    missing clear abstraction usage opportunity	3	0	
    for loop used instead of more appropriate functional style	3	0	
    variable not appropriately initialized	3	0	
"    did not use shortcut for boolean, i.e., if (bool == true) should be if (bool)"	3	0	
"    inappropriate character in filename, e.g., space"	3	0	
"    a 'what' comment, e.g., // set var to 0"	3	0	
    multi-line comment where // should be used instead	1	0	
    long comment at end of line instead of on separate line	1	0	
Total  	 [100]	10	
